,Unnamed: 0,Country,Daily new confirmed cases of COVID-19,daily_vaccinations
0,0,Australia,0,2769
15642,15642,Australia,1,2769
16353,16353,Australia,3,2769
19197,19197,Australia,2,2769
35550,35550,Australia,6,2769
41949,41949,Australia,4,2769
44082,44082,Australia,10,2769
44793,44793,Australia,14,2769
46215,46215,Australia,7,2769
47637,47637,Australia,15,2769
48348,48348,Australia,8,2769
49059,49059,Australia,22,2769
49770,49770,Australia,18,2769
50481,50481,Australia,57,2769
51192,51192,Australia,52,2769
51903,51903,Australia,49,2769
52614,52614,Australia,38,2769
53325,53325,Australia,78,2769
54036,54036,Australia,151,2769
54747,54747,Australia,126,2769
55458,55458,Australia,182,2769
56169,56169,Australia,208,2769
56880,56880,Australia,315,2769
57591,57591,Australia,313,2769
58302,58302,Australia,543,2769
59013,59013,Australia,171,2769
59724,59724,Australia,562,2769
60435,60435,Australia,393,2769
61146,61146,Australia,431,2769
61857,61857,Australia,284,2769
62568,62568,Australia,266,2769
63279,63279,Australia,348,2769
63990,63990,Australia,269,2769
64701,64701,Australia,248,2769
65412,65412,Australia,230,2769
66123,66123,Australia,181,2769
66834,66834,Australia,109,2769
67545,67545,Australia,100,2769
68256,68256,Australia,112,2769
68967,68967,Australia,96,2769
70389,70389,Australia,86,2769
71100,71100,Australia,51,2769
71811,71811,Australia,33,2769
72522,72522,Australia,44,2769
73233,73233,Australia,50,2769
73944,73944,Australia,42,2769
75366,75366,Australia,65,2769
76077,76077,Australia,53,2769
76788,76788,Australia,26,2769
77499,77499,Australia,13,2769
80343,80343,Australia,20,2769
81054,81054,Australia,16,2769
82476,82476,Australia,12,2769
85320,85320,Australia,5,2769
87453,87453,Australia,24,2769
89586,89586,Australia,21,2769
93852,93852,Australia,11,2769
95274,95274,Australia,30,2769
95985,95985,Australia,17,2769
96696,96696,Australia,9,2769
105228,105228,Australia,23,2769
120870,120870,Australia,27,2769
121581,121581,Australia,25,2769
123714,123714,Australia,29,2769
124425,124425,Australia,37,2769
125847,125847,Australia,46,2769
126558,126558,Australia,45,2769
127269,127269,Australia,81,2769
127980,127980,Australia,67,2769
130113,130113,Australia,254,2769
130824,130824,Australia,107,2769
131535,131535,Australia,87,2769
132246,132246,Australia,137,2769
132957,132957,Australia,169,2769
133668,133668,Australia,131,2769
134379,134379,Australia,173,2769
135090,135090,Australia,300,2769
135801,135801,Australia,194,2769
136512,136512,Australia,244,2769
137223,137223,Australia,183,2769
137934,137934,Australia,271,2769
140067,140067,Australia,425,2769
140778,140778,Australia,206,2769
141489,141489,Australia,361,2769
142200,142200,Australia,267,2769
142911,142911,Australia,359,2769
143622,143622,Australia,468,2769
144333,144333,Australia,410,2769
145044,145044,Australia,289,2769
145755,145755,Australia,355,2769
146466,146466,Australia,453,2769
147177,147177,Australia,532,2769
147888,147888,Australia,369,2769
148599,148599,Australia,278,2769
149310,149310,Australia,721,2769
150021,150021,Australia,602,2769
150732,150732,Australia,377,2769
151443,151443,Australia,641,2769
152154,152154,Australia,395,2769
152865,152865,Australia,411,2769
153576,153576,Australia,715,2769
154287,154287,Australia,418,2769
155709,155709,Australia,426,2769
156420,156420,Australia,386,2769
157842,157842,Australia,316,2769
158553,158553,Australia,414,2769
159264,159264,Australia,231,2769
159975,159975,Australia,385,2769
160686,160686,Australia,292,2769
161397,161397,Australia,253,2769
162819,162819,Australia,214,2769
163530,163530,Australia,220,2769
164241,164241,Australia,243,2769
165663,165663,Australia,195,2769
166374,166374,Australia,210,2769
167085,167085,Australia,104,2769
168507,168507,Australia,152,2769
169218,169218,Australia,117,2769
170640,170640,Australia,99,2769
171351,171351,Australia,123,2769
172062,172062,Australia,76,2769
172773,172773,Australia,73,2769
175617,175617,Australia,71,2769
176328,176328,Australia,72,2769
177039,177039,Australia,43,2769
178461,178461,Australia,91,2769
179172,179172,Australia,48,2769
182016,182016,Australia,41,2769
184149,184149,Australia,34,2769
188415,188415,Australia,31,2769
192681,192681,Australia,19,2769
260226,260226,Australia,35,2769
394605,394605,Australia,62,2769
396027,396027,Australia,121,2769
397449,397449,Australia,108,2769
398160,398160,Australia,85,2769
398871,398871,Australia,116,2769
399582,399582,Australia,139,2769
400293,400293,Australia,127,2769
401004,401004,Australia,119,2769
401715,401715,Australia,110,2769
402426,402426,Australia,141,2769
403137,403137,Australia,159,2769
403848,403848,Australia,150,2769
404559,404559,Australia,178,2769
405270,405270,Australia,161,2769
405981,405981,Australia,165,2769
406692,406692,Australia,186,2769
407403,407403,Australia,204,2769
408114,408114,Australia,261,2769
408825,408825,Australia,177,2769
409536,409536,Australia,218,2769
410247,410247,Australia,255,2769
410958,410958,Australia,228,2769
411669,411669,Australia,221,2769
412380,412380,Australia,251,2769
413091,413091,Australia,297,2769
413802,413802,Australia,303,2769
414513,414513,Australia,356,2769
415224,415224,Australia,291,2769
416646,416646,Australia,378,2769
417357,417357,Australia,368,2769
418068,418068,Australia,382,2769
418779,418779,Australia,407,2769
419490,419490,Australia,489,2769
420201,420201,Australia,441,2769
420912,420912,Australia,508,2769
421623,421623,Australia,490,2769
422334,422334,Australia,674,2769
423045,423045,Australia,748,2769
423756,423756,Australia,705,2769
424467,424467,Australia,895,2769
425178,425178,Australia,902,2769
426600,426600,Australia,825,2769
427311,427311,Australia,976,2769
428022,428022,Australia,1120,2769
428733,428733,Australia,975,2769
429444,429444,Australia,1124,2769
430155,430155,Australia,1315,2769
430866,430866,Australia,1351,2769
431577,431577,Australia,1235,2769
432288,432288,Australia,1253,2769
432999,432999,Australia,1482,2769
433710,433710,Australia,1627,2769
434421,434421,Australia,1731,2769
435132,435132,Australia,1684,2769
435843,435843,Australia,1528,2769
436554,436554,Australia,1462,2769
437265,437265,Australia,1697,2769
437976,437976,Australia,1717,2769
438687,438687,Australia,1908,2769
439398,439398,Australia,2014,2769
440109,440109,Australia,1641,2769
440820,440820,Australia,1716,2769
441531,441531,Australia,1557,2769
442242,442242,Australia,1671,2769
442953,442953,Australia,1885,2769
443664,443664,Australia,1769,2769
444375,444375,Australia,1848,2769
445086,445086,Australia,1567,2769
445797,445797,Australia,1481,2769
446508,446508,Australia,1621,2769
447930,447930,Australia,1850,2769
448641,448641,Australia,1741,2769
450063,450063,Australia,1749,2769
450774,450774,Australia,1491,2769
451485,451485,Australia,1874,2769
452196,452196,Australia,1820,2769
452907,452907,Australia,2389,2769
453618,453618,Australia,1862,2769
454329,454329,Australia,2505,2769
455040,455040,Australia,1909,2769
455751,455751,Australia,2025,2769
456462,456462,Australia,2386,2769
457173,457173,Australia,1990,2769
457884,457884,Australia,2273,2769
458595,458595,Australia,2463,2769
459306,459306,Australia,2545,2769
460017,460017,Australia,2372,2769
460728,460728,Australia,2096,2769
461439,461439,Australia,1851,2769
462150,462150,Australia,2013,2769
462861,462861,Australia,2752,2769
463572,463572,Australia,2556,2769
464283,464283,Australia,2271,2769
464994,464994,Australia,2115,2769
465705,465705,Australia,2151,2769
466416,466416,Australia,2020,2769
467127,467127,Australia,2052,2769
467838,467838,Australia,2643,2769
468549,468549,Australia,2322,2769
469260,469260,Australia,2041,2769
469971,469971,Australia,2160,2769
471393,471393,Australia,1712,2769
472104,472104,Australia,1760,2769
472815,472815,Australia,2174,2769
473526,473526,Australia,1901,2769
474237,474237,Australia,1483,2769
474948,474948,Australia,1180,2769
475659,475659,Australia,1578,2769
476370,476370,Australia,1133,2769
477081,477081,Australia,1112,2769
477792,477792,Australia,1573,2769
478503,478503,Australia,1555,2769
479214,479214,Australia,1506,2769
479925,479925,Australia,1378,2769
480636,480636,Australia,1305,2769
481347,481347,Australia,1282,2769
482058,482058,Australia,1199,2769
482769,482769,Australia,1589,2769
484191,484191,Australia,1466,2769
484902,484902,Australia,1093,2769
485613,485613,Australia,1019,2769
486324,486324,Australia,1013,2769
487035,487035,Australia,1221,2769
487746,487746,Australia,1302,2769
488457,488457,Australia,1495,2769
489168,489168,Australia,1352,2769
490590,490590,Australia,1206,2769
491301,491301,Australia,1009,2769
492012,492012,Australia,1452,2769
493434,493434,Australia,1599,2769
494145,494145,Australia,1476,2769
494856,494856,Australia,1243,2769
495567,495567,Australia,1165,2769
496278,496278,Australia,1081,2769
496989,496989,Australia,1423,2769
497700,497700,Australia,1723,2769
498411,498411,Australia,1507,2769
499122,499122,Australia,1687,2769
499833,499833,Australia,1268,2769
501255,501255,Australia,1428,2769
501966,501966,Australia,1711,2769
502677,502677,Australia,1669,2769
503388,503388,Australia,1702,2769
504099,504099,Australia,1745,2769
504810,504810,Australia,1539,2769
505521,505521,Australia,1838,2769
506232,506232,Australia,2007,2769
506943,506943,Australia,2803,2769
507654,507654,Australia,3423,2769
508365,508365,Australia,3714,2769
