,Unnamed: 0.1,Unnamed: 0,Country,Daily new confirmed cases of COVID-19,daily_vaccinations
2866,3593747,3593747,Egypt,149.0,219
3085,3935571,3935571,Egypt,376.0,219
3084,3934808,3934808,Egypt,389.0,219
3083,3928704,3928704,Egypt,566.0,219
3082,3926415,3926415,Egypt,606.0,219
3081,3924126,3924126,Egypt,691.0,219
3080,3922600,3922600,Egypt,733.0,219
3079,3921837,3921837,Egypt,755.0,219
3086,3979825,3979825,Egypt,203.0,219
3078,3920311,3920311,Egypt,773.0,219
3076,3918022,3918022,Egypt,821.0,219
3075,3916496,3916496,Egypt,932.0,219
3074,3915733,3915733,Egypt,951.0,219
3073,3914970,3914970,Egypt,956.0,219
3072,3914207,3914207,Egypt,984.0,219
3071,3909629,3909629,Egypt,1140.0,219
3070,3908866,3908866,Egypt,1149.0,219
3077,3919548,3919548,Egypt,782.0,219
3069,3908103,3908103,Egypt,1145.0,219
3087,3983640,3983640,Egypt,263.0,219
3089,3992033,3992033,Egypt,433.0,219
3105,4012634,4012634,Egypt,799.0,219
3104,4010345,4010345,Egypt,771.0,219
3103,4009582,4009582,Egypt,768.0,219
3102,4008819,4008819,Egypt,761.0,219
3101,4007293,4007293,Egypt,741.0,219
3100,4006530,4006530,Egypt,738.0,219
3099,4002715,4002715,Egypt,568.0,219
3088,3988218,3988218,Egypt,343.0,219
3098,4001189,4001189,Egypt,692.0,219
3096,3998900,3998900,Egypt,653.0,219
3095,3998137,3998137,Egypt,637.0,219
3094,3996611,3996611,Egypt,569.0,219
3093,3995848,3995848,Egypt,531.0,219
3092,3995085,3995085,Egypt,503.0,219
3091,3993559,3993559,Egypt,481.0,219
3090,3992796,3992796,Egypt,458.0,219
3097,3999663,3999663,Egypt,679.0,219
3106,4013397,4013397,Egypt,811.0,219
3068,3907340,3907340,Egypt,1151.0,219
3066,3905814,3905814,Egypt,1153.0,219
3045,3880635,3880635,Egypt,845.0,219
3044,3879872,3879872,Egypt,841.0,219
3043,3879109,3879109,Egypt,837.0,219
3042,3878346,3878346,Egypt,831.0,219
3041,3877583,3877583,Egypt,823.0,219
3040,3876820,3876820,Egypt,818.0,219
3039,3876057,3876057,Egypt,812.0,219
3046,3881398,3881398,Egypt,850.0,219
3038,3875294,3875294,Egypt,801.0,219
3036,3872242,3872242,Egypt,778.0,219
3035,3870716,3870716,Egypt,709.0,219
3034,3868427,3868427,Egypt,712.0,219
3033,3867664,3867664,Egypt,699.0,219
3032,3866901,3866901,Egypt,693.0,219
3031,3866138,3866138,Egypt,689.0,219
3030,3864612,3864612,Egypt,683.0,219
3037,3874531,3874531,Egypt,794.0,219
3067,3906577,3906577,Egypt,1148.0,219
3047,3882924,3882924,Egypt,855.0,219
3049,3885213,3885213,Egypt,884.0,219
3065,3905051,3905051,Egypt,1160.0,219
3064,3903525,3903525,Egypt,1188.0,219
3063,3901999,3901999,Egypt,1203.0,219
3062,3901236,3901236,Egypt,1197.0,219
3061,3900473,3900473,Egypt,1193.0,219
3060,3899710,3899710,Egypt,1187.0,219
3059,3898184,3898184,Egypt,1150.0,219
3048,3883687,3883687,Egypt,861.0,219
3058,3896658,3896658,Egypt,1132.0,219
3056,3895132,3895132,Egypt,1110.0,219
3055,3894369,3894369,Egypt,1102.0,219
3054,3892080,3892080,Egypt,1051.0,219
3053,3891317,3891317,Egypt,1032.0,219
3052,3888265,3888265,Egypt,1003.0,219
3051,3887502,3887502,Egypt,991.0,219
3050,3886739,3886739,Egypt,953.0,219
3057,3895895,3895895,Egypt,1125.0,219
3107,4015686,4015686,Egypt,846.0,219
3108,4016449,4016449,Egypt,857.0,219
3109,4017975,4017975,Egypt,865.0,219
3156,4099616,4099616,Egypt,2018.0,219
3157,4101142,4101142,Egypt,2223.0,219
3158,4101905,4101905,Egypt,2291.0,219
3159,4102668,4102668,Egypt,2278.0,219
3160,4103431,4103431,Egypt,2281.0,219
3161,4104957,4104957,Egypt,2298.0,219
3162,4105720,4105720,Egypt,2301.0,219
3155,4098090,4098090,Egypt,1985.0,219
3163,4107246,4107246,Egypt,2194.0,219
3165,4108772,4108772,Egypt,2189.0,219
3166,4109535,4109535,Egypt,2179.0,219
3167,4111061,4111061,Egypt,2131.0,219
3168,4111824,4111824,Egypt,2129.0,219
3169,4112587,4112587,Egypt,2117.0,219
3170,4114113,4114113,Egypt,2071.0,219
3171,4114876,4114876,Egypt,2053.0,219
3164,4108009,4108009,Egypt,2191.0,219
3172,4116402,4116402,Egypt,2009.0,219
3154,4097327,4097327,Egypt,1910.0,219
3152,4095801,4095801,Egypt,1651.0,219
3135,4054599,4054599,Egypt,938.0,219
3136,4060703,4060703,Egypt,803.0,219
3137,4061466,4061466,Egypt,822.0,219
3138,4069859,4069859,Egypt,848.0,219
3139,4072911,4072911,Egypt,866.0,219
3140,4074437,4074437,Egypt,851.0,219
3141,4075200,4075200,Egypt,809.0,219
3153,4096564,4096564,Egypt,1809.0,219
3142,4075963,4075963,Egypt,854.0,219
3144,4079778,4079778,Egypt,723.0,219
3145,4082067,4082067,Egypt,840.0,219
3146,4083593,4083593,Egypt,830.0,219
3147,4088934,4088934,Egypt,1101.0,219
3149,4091986,4091986,Egypt,1379.0,219
3150,4093512,4093512,Egypt,1533.0,219
3151,4095038,4095038,Egypt,1603.0,219
3143,4077489,4077489,Egypt,847.0,219
3173,4117165,4117165,Egypt,2003.0,219
3174,4117928,4117928,Egypt,1989.0,219
3175,4118691,4118691,Egypt,1892.0,219
3125,4036287,4036287,Egypt,903.0,219
3124,4035524,4035524,Egypt,909.0,219
3123,4034761,4034761,Egypt,922.0,219
3122,4032472,4032472,Egypt,921.0,219
3121,4030946,4030946,Egypt,933.0,219
3120,4030183,4030183,Egypt,948.0,219
3119,4029420,4029420,Egypt,927.0,219
3126,4038576,4038576,Egypt,934.0,219
3118,4026368,4026368,Egypt,889.0,219
3116,4024842,4024842,Egypt,881.0,219
3115,4024079,4024079,Egypt,885.0,219
3114,4022553,4022553,Egypt,877.0,219
3113,4021790,4021790,Egypt,868.0,219
3112,4021027,4021027,Egypt,883.0,219
3111,4020264,4020264,Egypt,871.0,219
